country/ month,JAN,FEB,MARCH,APRIL,MAY,JUNE,JULY,AUGEST,SEPTEMBER,OCTOBER,NOVEMBER 
World,883,45092,353441,4072245,9413026,13075327,18090364,23631602,27974813,34111003,11035445
Afghanistan,0,0,17,794,4814,14418,33013,41919,42914,46168,13960
Albania,0,0,78,714,973,1192,3207,6818,10184,13609,4830
Algeria,0,0,276,8767,16698,23335,32422,42128,48742,56976,18024
Andorra,0,0,24,888,1509,1544,1612,1631,1590,1873,675
Angola,0,0,4,60,80,198,855,2523,4130,7122,2627
Anguilla,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,52,93,90,93,93,90,93,27
Argentina,0,0,140,3326,11220,25850,65786,175288,360156,781135,291147
Armenia,0,0,9,522,2012,8744,18701,25277,27557,33560,13269
Aruba,0,0,0,28,86,90,93,154,582,1020,349
Australia,0,0,183,1778,3048,3071,3807,12093,24010,27905,8163
Austria,0,0,521,11124,19389,20458,21979,22508,22758,28062,10918
Azerbaijan,0,0,25,410,1188,3789,10172,15476,16915,19558,7023
Bahamas,0,0,0,228,341,330,344,708,2052,3577,1337
Bahrain,0,0,36,187,338,1383,3616,5262,6417,8918,2931
Bangladesh,0,0,42,1990,10264,35997,76456,112931,142910,173446,53990
Barbados,0,0,0,117,217,210,217,217,210,217,63
Belarus,0,0,0,1081,4840,9322,14781,18962,22644,28235,8951
Belgium,0,0,6242,148394,272658,285999,299788,303916,298162,325415,86552
Belize,0,0,0,45,62,60,62,153,567,1258,571
Benin,0,0,0,25,72,249,858,1191,1200,1271,379
Bermuda,0,0,0,110,252,270,279,279,270,279,81
Bhutan,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,0,9,865,5231,19294,61093,124064,211407,260090,78840
Bonaire Sint Eustatius and Saba,0,0,0,0,0,0,0,0,16,68,27
Bosnia and Herzegovina,0,0,34,1198,3642,4955,7374,14424,21516,30506,12296
Botswana,0,0,0,29,31,30,35,95,335,598,228
Brazil,0,0,780,60304,484650,1323138,2337595,3316699,3982675,4717795,1446237
British Virgin Islands,0,0,0,11,31,30,31,31,30,31,9
Brunei,0,0,3,30,35,74,93,93,90,93,27
Bulgaria,0,0,63,1054,3242,5416,9004,15350,21783,30305,13195
Burkina Faso,0,0,54,890,1547,1590,1643,1686,1676,1952,603
Burundi,0,0,0,16,31,30,31,31,30,31,9
Cambodia,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,10,779,4002,7770,11158,12415,12463,13113,3856
Canada,0,0,476,36402,166297,242533,272584,279745,275785,300936,92962
Cape Verde,0,0,7,30,81,207,600,1025,1425,2482,872
Cayman Islands,0,0,11,30,31,30,31,31,30,31,9
Central African Republic,0,0,0,0,8,524,1666,1872,1860,1922,558
Chad,0,0,0,4,1286,2146,2313,2356,2409,2848,887
Chile,0,0,38,3059,14996,97337,235488,321953,360131,417784,129311
China,883,44705,98467,118277,143762,139162,144018,145605,142019,146909,42651
Colombia,0,0,55,3972,17330,54695,188892,456975,691717,883655,288359
Comoros,0,0,0,0,31,112,217,217,210,217,63
Congo,0,0,0,164,423,833,1486,2090,2587,2819,828
Costa Rica,0,0,24,116,253,347,1683,8869,19088,35423,12849
Cote d'Ivoire,0,0,2,215,753,1389,2637,3357,3582,3749,1134
Croatia,0,0,24,981,2843,3174,3766,5082,6866,11312,5930
Cuba,0,0,22,807,2367,2524,2686,2759,3272,3870,1162
Curacao,0,0,5,30,31,30,31,31,30,31,14
Cyprus,0,0,32,344,504,546,589,621,646,753,242
Czech Republic,0,0,80,4388,8933,9981,11107,12380,14741,44762,36775
Democratic Republic of Congo,0,0,41,651,1613,3294,5929,7280,7933,8942,2807
Denmark,0,0,448,8731,16456,17836,18908,19219,19033,21073,6579
Djibouti,0,0,0,40,222,1180,1744,1837,1824,1891,549
Dominica,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,166,5307,12777,18159,28745,44000,58835,67670,20302
Ecuador,0,0,360,11807,74405,117776,159416,188810,303685,377888,114584
Egypt,0,0,260,5579,18980,52765,123421,158714,170161,188863,56853
El Salvador,0,0,0,176,780,2595,9371,18541,23692,28211,8970
Equatorial Guinea,0,0,0,7,209,580,1543,2541,2490,2573,755
Eritrea,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,10,930,1862,1890,1953,1960,1920,2142,659
Ethiopia,0,0,0,69,151,1591,4823,16255,30652,41160,13494
Faeroe Islands,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,34,60,62,18
Finland,0,0,51,2668,8675,9744,10175,10316,10160,10831,3242
France,0,18,18080,464460,840074,882482,932023,943004,932979,1038933,347715
French Polynesia,0,0,0,0,0,0,0,0,66,449,319
